port_locode,country_code,location_code,port_name,function,status,coordinates
ARXPD,AR,XPD,San Pedro,1--4----,AI,
ARZAE,AR,ZAE,Zárate,1-------,AI,3406S 05902W
ASPPG,AS,PPG,Pago Pago,1--45---,AI,1416N 17042W
AT7PZ,AT,7PZ,Prinzersdorf,1-3-----,RL,4812N 01531E
ATATK,AT,ATK,Paternion,1-3-----,RL,4642N 01338E
ATATN,AT,ATN,Asten,123-----,RL,4813N 01424E
ATAWH,AT,AWH,Altenwörth,1-3-----,RL,4823N 01551E
ATBFS,AT,BFS,Bischofshofen,123-----,RL,4725N 01313E
ATBNN,AT,BNN,Hobersbrunn,1-------,RL,4830N 01634E
ATBOE,AT,BOE,Böhlerwenk,123-----,RL,4759N 01445E
ATBRI,AT,BRI,Engabrunn,1-------,RL,4827N 01545E
ATBRZ,AT,BRZ,Bregenz,123-----,RL,4730N 00946E
ATDFC,AT,DFC,Engerwitzdorf,1-3-----,RL,4821N 01427E
ATDKZ,AT,DKZ,Deutschkreutz,1----6--,RL,4736N 01638E
ATDOF,AT,DOF,Hadersdorf,1-------,RL,4827N 01543E
ATDRA,AT,DRA,Drasenhofen,1----6--,RL,4845N 01639W
ATDRO,AT,DRO,Dross,1-3-----,RL,4827N 01534E
ATDUE,AT,DUE,Dürnstein,123-----,RL,4823N 01531E
ATDWA,AT,DWA,Deutsch Wagram,123-----,RL,4818N 01634E
ATEBR,AT,EBR,Ebreichsdorf,1-3-----,RL,4757N 01624E
ATEIN,AT,EIN,Hoflein,1-------,RL,4804N 01647E
ATEPD,AT,EPD,Erpersdorf,1-3-----,RL,4820N 01554E
ATERL,AT,ERL,Erl,1-3--6--,RL,4740N 01210E
ATERM,AT,ERM,Vordernberg,1-3-----,RL,4728N 01500E
ATERO,AT,ERO,Engelmannsbrunn,1-3-----,RL,4827N 01553E
ATERR,AT,ERR,Dobermannsdorf,1-------,RL,4836N 01649E
ATETZ,AT,ETZ,Rietz,1-------,RL,4717N 01103E
ATEWD,AT,EWD,Eibiswald,1----6--,RL,4641N 01550E
ATFBZ,AT,FBZ,Sankt Stefan ob Stainz,1-------,RL,4655N 01515E
ATFG7,AT,FG7,Achau,1----6--,RL,4840N 16230W
ATFHR,AT,FHR,Fehring,1-3--6--,RL,4656N 01600E
