country_code,country_name,year,month,risk_month,conflict_index_real,governance_stability_score,governance_fragility_risk,sanctions_risk,trade_restriction_risk,geo_risk_score_real
,Zambia,2022,8,2022-08-01,0.19063471765227957,0.06309494121172957,0.9369050587882705,0.1,0.1,0.34548015175797947
,Zimbabwe,2022,8,2022-08-01,0.3129935447639751,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3944236826026577
,eSwatini,2022,8,2022-08-01,0.2703548383209893,0.06309494121172957,0.9369050587882705,0.1,0.1,0.37736820002546334
,Algeria,2022,9,2022-09-01,0.316331937333452,0.06309494121172957,0.9369050587882705,0.1,0.1,0.39575903963044845
,Angola,2022,9,2022-09-01,0.28051909413704307,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3814339023518849
,Antarctica,2022,9,2022-09-01,0.0,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2692262646970676
,Australia,2022,9,2022-09-01,0.3299721502880233,0.06309494121172957,0.9369050587882705,0.1,0.1,0.40121512481227695
,Bahrain,2022,9,2022-09-01,0.2859512126658442,0.06309494121172957,0.9369050587882705,0.1,0.1,0.38360674976340536
,Bangladesh,2022,9,2022-09-01,0.5582430466473085,0.06309494121172957,0.9369050587882705,0.1,0.1,0.49252348335599105
,Benin,2022,9,2022-09-01,0.33436001750626804,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4029702716995749
,Burkina Faso,2022,9,2022-09-01,0.6042298653987341,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5109182108565613
,Burundi,2022,9,2022-09-01,0.4196363409050121,0.06309494121172957,0.9369050587882705,0.1,0.1,0.43708080105907254
,Cambodia,2022,9,2022-09-01,0.19924472460340442,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3489241545384294
,Cameroon,2022,9,2022-09-01,0.5982720945765171,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5085351025276745
,Cape Verde,2022,9,2022-09-01,0.08125011765820207,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3017263117603485
,Central African Republic,2022,9,2022-09-01,0.3614847708507483,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41382017303736696
,Chad,2022,9,2022-09-01,0.4262160392952828,0.06309494121172957,0.9369050587882705,0.1,0.1,0.43971268041518075
,Comoros,2022,9,2022-09-01,0.13656813125138859,0.06309494121172957,0.9369050587882705,0.1,0.1,0.32385351719762306
,Democratic Republic of Congo,2022,9,2022-09-01,0.6358697350797343,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5235741587289614
,Equatorial Guinea,2022,9,2022-09-01,0.14514337938629054,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3272836164515839
,Eritrea,2022,9,2022-09-01,0.12671544417820801,0.06309494121172957,0.9369050587882705,0.1,0.1,0.31991244236835087
,Ethiopia,2022,9,2022-09-01,0.6256336042326546,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5194797063901295
,Gabon,2022,9,2022-09-01,0.15830620929047745,0.06309494121172957,0.9369050587882705,0.1,0.1,0.33254874841325865
,Ghana,2022,9,2022-09-01,0.37059239806173605,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41746322392176205
,Guam,2022,9,2022-09-01,0.06409085934021878,0.06309494121172957,0.9369050587882705,0.1,0.1,0.29486260843315515
,Guinea,2022,9,2022-09-01,0.34070090671364883,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4055066273825272
,Guinea-Bissau,2022,9,2022-09-01,0.08329205646264667,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3025430872821263
,India,2022,9,2022-09-01,0.7149944459373191,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5552240430719952
,Indonesia,2022,9,2022-09-01,0.5930360752081932,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5064406947803449
,Iraq,2022,9,2022-09-01,0.6966466563588277,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5478849272405988
,Israel,2022,9,2022-09-01,0.4323204108459815,0.06309494121172957,0.9369050587882705,0.1,0.1,0.44215442903546026
,Ivory Coast,2022,9,2022-09-01,0.28197550270760025,0.06309494121172957,0.9369050587882705,0.1,0.1,0.38201646578010773
,Japan,2022,9,2022-09-01,0.41900671922317134,0.06309494121172957,0.9369050587882705,0.1,0.1,0.43682895238633623
,Jordan,2022,9,2022-09-01,0.33780642263661476,0.06309494121172957,0.9369050587882705,0.1,0.1,0.40434883375171354
,Kenya,2022,9,2022-09-01,0.514330637459332,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4749585196808005
,Kuwait,2022,9,2022-09-01,0.0,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2692262646970676
,Lebanon,2022,9,2022-09-01,0.4897485797939607,0.06309494121172957,0.9369050587882705,0.1,0.1,0.465125696614652
,Lesotho,2022,9,2022-09-01,0.16359611031570057,0.06309494121172957,0.9369050587882705,0.1,0.1,0.33466470882334787
,Liberia,2022,9,2022-09-01,0.08221241817249827,0.06309494121172957,0.9369050587882705,0.1,0.1,0.30211123196606693
,Libya,2022,9,2022-09-01,0.28945060991289673,0.06309494121172957,0.9369050587882705,0.1,0.1,0.38500650866222635
,Madagascar,2022,9,2022-09-01,0.3747029073966007,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41910742765570796
,Malawi,2022,9,2022-09-01,0.20839837772397996,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35258561578665965
,Malaysia,2022,9,2022-09-01,0.2020248856605395,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35003621896128345
,Mali,2022,9,2022-09-01,0.5832069022887931,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5025090256125849
,Mauritania,2022,9,2022-09-01,0.2235103427942796,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35863040181477945
,Mauritius,2022,9,2022-09-01,0.18027907526543768,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3413378948032427
,Mayotte,2022,9,2022-09-01,0.1280052378773283,0.06309494121172957,0.9369050587882705,0.1,0.1,0.32042835984799894
,Mongolia,2022,9,2022-09-01,0.19074198756561436,0.06309494121172957,0.9369050587882705,0.1,0.1,0.34552305972331343
,Morocco,2022,9,2022-09-01,0.4151684123699899,0.06309494121172957,0.9369050587882705,0.1,0.1,0.43529362964506363
,Mozambique,2022,9,2022-09-01,0.48431456529705996,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4629520908158916
